题号,科目,章节,题型,题目,选项A,选项B,选项C,选项D,选项E,正确答案
43,史课,1-20-22史课练习-裴永清,单选,一些更年期的婦女說自己身上烘一下熱，然後發冷，這叫（   ）。,寒熱往來,潮熱,惡,,,B
44,史课,1-20-22史课练习-裴永清,单选,《傷寒論》的條文一共有（   ）條。,398,113,256,,,A
45,史课,1-20-22史课练习-裴永清,单选,中藥除了湯藥，還有丸散膏丹等劑型，其中（   ）特別適合于滋補。,湯藥,水蜜丸,膏劑,,,C
46,字课,1-12 字课练习-疮疡,多选,一個人，被釘子紮了腳，傷口紅腫化膿，很多天都不好，以下看法正確的是（   ）,感染了,最好去清创、消毒 C不用管也能自愈,成疮疡了,,,ABD
47,字课,1-12 字课练习-疮疡,多选,關於虛邪，以下看法正確的是（   ）,通常隨風進入人體B、有外傷的情況，更容易進入人體C、新冠病毒是虛邪D、寒氣是虛邪,,,,,ABCD
48,字课,1-12 字课练习-疮疡,多选,小李，男，25歲，長了一臉青春痘，他該怎麼做（   ）,聽說有一款外用藥膏很好用，可以用來外治B、多喝點綠茶降火C、少熬夜,該找女朋友了,,,,CD
49,字课,1-12 字课练习-疮疡,多选,得了痔瘡，以下做法妥當的是（   ）,少吃辣,尽快切除,可以找个好治疗师刮痧,调节情绪,,ACD
50,字课,1-12 字课练习-疮疡,单选,外傷感染後抽搐，這是影響到了（   ）,心神,心胞,肝,肾,,B
51,字课,1-13字课练习-痞满,判断,導致痞滿的是水飲、痰濕、瘀血等有形有質的物質。（   ）,正确,错误,,,,false
52,字课,1-13字课练习-痞满,判断,艾灸時應該感到被灸的局部熱熱的。（   ）,正确,错误,,,,false
53,字课,1-13字课练习-痞满,判断,家庭關係中，夫妻關係比親子關係更為重要。（   ）,正确,错误,,,,true
54,字课,1-13字课练习-痞满,单选,患者感覺心臓不舒服，身體累，背上有巴掌大的地方感覺發冷，說明患者可能存在（   ）,水痞 B热痞 C痰痞 D寒痞,,,,,A
55,字课,1-14字课练习-咳嗽,多选,以下關於咳嗽，正確的是（   ）,咳有聲，嗽無聲,咳有痰，嗽無痰,咳主要是肺的問題，嗽主要是胃的問題,咳不一定有痰,,CD
56,字课,1-14字课练习-咳嗽,多选,孩子上了游泳班，回來一直咳嗽，以下做法正確的是（   ）,先暂停游泳 B孩子体质太差，要多游泳，加强锻炼,,,,,AD
57,字课,1-14字课练习-咳嗽,多选,以下說法正確的是（   ）,治療後咳嗽加重，不用擔心，是順證B、咳嗽的喘不上來氣，要先止咳C、治療後不咳嗽了，不一定是快好了D、咳嗽了2個月，精神體力正常，是順證，不需要治療,,,,,BC
58,字课,1-14字课练习-咳嗽,多选,对于咳嗽的理解，正确的是（   ）,是从食道往外排东西 B治疗要控制饮食 C治疗要消胃的积滞,,,,,ABCD
59,字课,1-15字课练习-哮喘,多选,以下正確的是（   ）,過敏性哮喘是由於過敏原，要終生避免過敏原,過敏性哮喘根本原因在於正氣不足,哮主要是因為痰多，阻塞氣道,喘主要是因為痰多，喘不上氣,,BC
60,字课,1-15字课练习-哮喘,多选,孩子得了哮喘，以下做法正確的是（   ）,可以用激素救急,只能終生用藥,需要調整飲食,可以適當多曬太陽,,ABC
61,字课,1-15字课练习-哮喘,多选,以下關於肺，正確的是（   ）,肺司呼吸，呼氣和吸氣都管,肺只管吸氣,肺只管呼氣,肺功能越好，呼吸越深,,AD
62,字课,1-15字课练习-哮喘,多选,以下關於哮喘，正確的是（   ）,哮發生在呼氣,哮發生在吸氣,喘發生在呼氣,喘發生在吸氣,,AD
63,字课,1-16字课练习-眩晕,多选,下列症狀屬於眩的是（   ）,蹲的時間久了一站起來眼前發黑,從床上坐起來感覺天旋地轉,飛蚊症,老花眼,,ACD
64,字课,1-16字课练习-眩晕,多选,解決外陰瘙癢，有效的方法是（   ）,肝經刮痧,陰道沖洗,保持心情舒暢,內褲消毒,,AC
65,字课,1-16字课练习-眩晕,多选,入目或連接目系的經絡有（   ）,任脈,肝經,心經,胃經,,ABC
66,字课,1-16字课练习-眩晕,多选,防治暈車暈船的有效方法是（   ）,掐內關,吃暈車藥,喝薑湯,治胃,,ACD
67,字课,1-16字课练习-眩晕,多选,下列哪些人屬於失精家（   ）,長期腹瀉,過度手淫,長期白帶量多,月經淋漓不盡,,ABCD
68,字课,1-17字课练习-癥瘕,多选,"對於""中醫讓人糊里糊塗地活，西醫讓人明明白白地死""這句話，以下理解正確的是（   ）",中醫診斷比較抽象，所以有一類人看不懂,中醫喜歡故弄玄虛，所以診斷模糊,西醫診斷非常精確，所以讓人看了就能知道問題的原因,西醫診斷很精確，但是很多時候只在表像,,AD
69,字课,1-17字课练习-癥瘕,多选,以下正確的是（   ）,劉女士做了1個月艾灸，體檢發現子宮肌瘤，是灸壞了灸出來的,身體裏的腫瘤，可能最早的原因是很多年前的一次受寒,孩子脊柱側彎，應該儘早做矯正手術,孩子脊柱側彎，可能跟飲食不當有關,,BD
70,字课,1-17字课练习-癥瘕,多选,以下關於癥，準確的是（   ）,身體裹一按就跑的結B、身體裏固定不動的結,摸上去質地很軟D、摸上去質地比較硬,,,,BD
71,字课,1-17字课练习-癥瘕,单选,易初始素裹的始，是（   ）,未見氣也,始見氣也,始見形也,有形有質也,,C
72,字课,1-18字课练习-积聚,多选,關於症瘕積聚裏的積，以下正確的是（   ）,食積,疳積,腫瘤,癌,,CD
73,字课,1-18字课练习-积聚,多选,關於症瘕積聚裏的聚，以下正確的是（   ）,吵架生氣，氣得肝疼,吹空調了，感覺後背心發涼,肚子裏的痰結,吃多了脹氣,,ABD
74,字课,1-18字课练习-积聚,多选,劉女士得了子宮肌瘤，以下正確的是（   ）,最早可能就是因為生了一口悶氣,可能有過痛經,手術摘掉就行了,等月經沒了就好了,,AB
75,字课,1-18字课练习-积聚,单选,李女士查出癌症，出去旅遊半年，回來後發現癌症沒了。以下說法，正確的是（   ）,旅遊可以治癌症,醫院誤診了,她可能是心情好了，所以問題減輕了,她的癌完全好了,,C
76,字课,1-19字课练习-疥癣,多选,"以下屬於""正氣存內，邪不可幹""的是（   ）",朝五晚九的作息時間,喝消毒液殺滅體內病毒,喝雞湯預防感冒,保持恬淡虛無的心態,,AD
77,字课,1-19字课练习-疥癣,多选,"以下屬於""虛邪賊風，避之有時""的是（   ）",睡覺前檢查窗戶是否關好,疫情期間出門戴口罩,對花粉過敏的人不要去賞花,夏天掛蚊帳防蚊,,AB
78,字课,1-19字课练习-疥癣,多选,腳上長了癬，以下說法正確的是（   ）,體內有濕氣,應該抹藥膏殺滅真菌,要勤洗腳,經常摩腹對恢復有幫助,,AD
79,字课,1-19字课练习-疥癣,单选,以下關於疥蟲，錯誤的是（   ）,夜間活動劇烈,在宿主皮膚內挖掘隧道,疥蟲是微生物,硫磺可以殺死疥蟲,,C
80,字课,1-20字课练习-性命,多选,關於性命的性，以下正確的是（   ）,跟性能力有關,是人的心理活動,包括人的神,包括人的意識,,BCD
81,字课,1-20字课练习-性命,多选,下面說法正確的是（   ）,衰老是正常的生命階段，讓人保持青春的科技手段是有代價的,命苦要努力抗爭，我命由我不由天,命苦要接受，順應天命，改善運氣,知天達命是要去算命，提前預知自己的命運,,AC
82,字课,1-20字课练习-性命,多选,關於女子的生命規律，以下錯誤的是（   ）,以7年為一個週期變化,以8年為一個週期變化,35開始腎氣虛,56喪失生育能力,,BCD
83,字课,1-20字课练习-性命,多选,關於認命，以下正確的是（   ）,每個人的命是註定的，如果命不好只能認慫,認命是要認清天命的規律,認命是要認清自己的身體底子,認命是要認清自己的命運,,BC
84,字课,1-21字课练习-精神,多选,以下做法會導致傷精的是（   ）,感冒後期咳嗽吐痰,為了減肥，摳嗓子眼嘔吐,吃了油膩的拉肚子,每次月經兩周才乾淨,,BD
85,字课,1-21字课练习-精神,多选,孕期的准媽媽合適的做法是（   ）,看美好的事物,雖然噁心，但也要勉強吃一點，少吃多餐,多吃營養高的食物,多吃自己喜歡的食物,,AB
86,字课,1-21字课练习-精神,多选,以下對精的認識正確的是（   ）,精是父母給的，出生以後就在逐漸減少B、精是指男性的精子和女性的卵子C、後天的水穀之精能夠充養先天之精D、母乳的品質對孩子的精的積累至關重要,,,,,CD
87,字课,1-21字课练习-精神,多选,以下對神的認識正確的是（   ）,精子和卵子結合的一瞬間，神就誕生了,精是神的物質基礎，精充才能神足,孩子降生的一刹那，神進入了孩子的身體,後天教育會影響到一個人的神,,ABD
88,字课,1-21字课练习-精神,多选,以下有可能導致神失所養的有（   ）,用腦過度,三餐以主食為主,任督脈不通,熬夜,,ACD
89,字课,1-22字课练习-魂魄,多选,傷魂魄的行為有（   ）,暴飲暴食,熬夜,大悲大喜,單相思,,ABCD
90,字课,1-22字课练习-魂魄,多选,以下屬於魄的是（   ）,胎光,雀陰,除穢,屍狗,,BCD
91,字课,1-22字课练习-魂魄,多选,關於魂魄，正確的是（   ）,人有三魂七魄,魂魄只要有缺少，人就會死,魂魄缺失，人會生病,植物人可以理解為是有魄無魂,,ACD
92,字课,1-22字课练习-魂魄,多选,以下關於人神，正確的是（   ）,人神，是人的魂魄的統稱,人神，是修行以後成仙的人,人神，是天神的延伸,人神，可以感應到天神,,ACD
93,文课,1-12 文课练习-《工之僑獻琴》,单选,以下哪一項有詞性變化？（   ）,使國工視之,匣而埋諸土,抱以適市,易之以百金,,B
94,文课,1-12 文课练习-《工之僑獻琴》,单选,"以下哪個字是""於之""的合音？（   ）",耶,矣,諸,焉,,D
95,文课,1-12 文课练习-《工之僑獻琴》,单选,以下哪個括弧中的字讀去聲？（   ）,（易）寡人之璧,周（易）,（操）之過急,猗蘭（操）,,D
96,文课,1-12 文课练习-《工之僑獻琴》,单选,《工之僑獻琴》是一篇（   ）,駢文,散文,駢賦,以上都不對,,B
97,文课,1-12 文课练习-《工之僑獻琴》,单选,在通常情況下，以下哪種用句是允許的？（   ）,詩用他人詩原句,詩用他人詞原句,詞用他人詞原句,詞用他人詩原句,,D
98,文课,1-13 文课练习-《病梅館记》,单选,距今天最近的己亥年是（   ）,2019,2001,1989,1966,1960,A
99,文课,1-13 文课练习-《病梅館记》,单选,以下哪一項詩句【不】屬於《己亥雜詩》？（   ）,避席畏聞文字獄，著書都為稻粱謀。,落紅不是無情物，化作春泥更護花。,終是落花心緒好，平生默感玉皇恩。,我勸天公重抖擻，不拘一格降人才。,,A
100,文课,1-13 文课练习-《病梅館记》,单选,以下哪一項【未】發生詞性變化？（   ）,則百不才督之縛之,以夭梅病梅為業以求錢也,未可明詔大號以繩天下之梅也,辟病梅之館以貯之,,D
101,文课,1-13 文课练习-《病梅館记》,单选,烏梅的性味是：（   ）,甘寒,酸涼,辛溫,鹹寒,,B
102,文课,1-13 文课练习-《病梅館记》,单选,什麼樣的人可以在夏天飲用酸梅湯？（   ）,舌有膩苔,痰瘀互結,津枯血燥,胃脘虛寒,,C
103,文课,1-14~19 文课练习-《隆中對》,单选,以下說法正確的是(1-14课)：（   ）,《敕勒歌》屬於樂府詩當中的郊廟歌辭,《隆中對》節選自《三國演義》,《樂府詩集》屬於集部,二十四史指的是從《史記》到《清史》共二十四部歷史,,C
104,文课,1-14~19 文课练习-《隆中對》,单选,以下哪一組詞語均為並列結構？（   ）,禮樂，天道，按摩，好逑,燕射，道理，樂府，隴畝,郊廟，射禦，鼓吹，針灸,按蹺，推拿，針砭，橫吹,,C
105,文课,1-14~19 文课练习-《隆中對》,单选,按時間順序排列四種音樂形式，正確的是：（   ）,清樂、雅樂、南北曲、燕樂,雅樂、清樂、燕樂、南北曲,雅樂、南北曲、清樂、燕樂,燕樂、清樂、南北曲、雅樂,,B
106,文课,1-14~19 文课练习-《隆中對》,单选,以下說法正確的是(1-14)：（   ）,宋詞可以稱為樂府,樂府就是民歌，是典型的民間文學,漢武帝時，郭茂倩編《樂府詩集》，整理了大量過往歷史中的樂府詩,雅文學終結於明清小說,,A
107,文课,1-14~19 文课练习-《隆中對》,单选,《蘭亭序》、《道德經》、《隆中對》分別歸於：（   ）,集部、經部、史部,子部、經部、史部,經部、子部、集部,集部、子部、史部,,D
108,文课,1-14~19 文课练习-《隆中對》,单选,以下哪一項發生了詞性變化？（1-15）（   ）,九合諸侯,好為梁父吟,時人莫之許,謂為信然,,A
109,文课,1-14~19 文课练习-《隆中對》,单选,以下說法正確的是：（1-15）（   ）,昆曲指的是昆山腔，與南曲和北曲無關,當古音與今音不一致時，應按古音發音,"""三歲貫女，莫我肯顧。""中有意動用法",明代以後創作的文學作品屬於俗文學,以上都不對,E
110,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下選項中有倒裝現象的是：（   ）,何陋之有,誠不我欺,無舟莫適,大王來何操,,ABD
111,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下詞語中兩字都是仄聲的是：（   ）,子曰,十八,得直,一曲,樂府,ABCDE
112,文课,1-14~19 文课练习-《隆中對》,单选,以下哪項兩字都是平聲？（   ）,一方,屈心,俱全,皆曰,,C
113,文课,1-14~19 文课练习-《隆中對》,单选,以下說法正確的是（1-16）：（   ）,以姓名稱呼陌生人相當於罵人,古人的號相當於他人給本人起的外號,姓氏就是指一個人姓什麼,名是名，字是字，二者沒什麼關係,,A
114,文课,1-14~19 文课练习-《隆中對》,单选,以下哪一項發生了詞性變化（1-16）？（   ）,說之,器之,厭之,慰之,,B
115,文课,1-14~19 文课练习-《隆中對》,单选,下列括弧中的字，讀仄聲的是：（   ）,不（勝）感激,（令）五人保其首領,比（興）,孤不度德（量）力,,C
116,文课,1-14~19 文课练习-《隆中對》,单选,兩字都是入聲的一項是：（   ）,乃見,操守,董卓,度德,,D
117,文课,1-14~19 文课练习-《隆中對》,单选,以下哪一組詞均為並列結構？（   ）,猖獗 是非 好歹 褒貶,豪傑歸附 躬耕 糧草,群眾 部署 克勤 險塞,智術 諸侯 傾頹厥逆,,A
118,文课,1-14~19 文课练习-《隆中對》,单选,因屏人曰漢室傾頽奸臣竊命主上蒙塵孤不度德量力欲信大義於天下。以上一段文言有幾個通假字？（   ）,一個,兩個,三個,沒有,,B
119,文课,1-14~19 文课练习-《隆中對》,单选,"課文中""國險而民附""的""國""是指：（   ）",中國,吳國,國都,以上都不對,,C
120,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下哪項為並列結構？（   ）,賢能,守成,曹眾,能言,人文,ACD
121,文课,1-14~19 文课练习-《隆中對》,单选,以下哪項括弧中的字讀平聲？（   ）,蓋失強（援）,劉備以亮有殊（量）,（ 令）人喪氣若此,（國）險而民附,,C
122,文课,1-14~19 文课练习-《隆中對》,单选,以下說法正確的是（1-18）：（   ）,人文學科同時也都是藝術學科,《三國志》是二十四史之一,文藝是沒有任何功用的,現代主義與古典主義並無明顯區別,,B
123,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下哪項為並列結構？(1-19)（   ）,智能,霸業,險塞,信義,存恤,ACDE
124,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下哪幾項括弧中的字是仄聲？(1-19)（   ）,漢室可（興）矣,以向（宛）洛,簞（食）壺漿,欲（信）大義於天下,（將）荊州之軍,CE
125,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下含有詞性活用的選項是：(1-19)（   ）,簞食壺漿,此殆天所以資將軍,與亮情好日密,漢室可興矣,,AC
126,文课,1-14~19 文课练习-《隆中對》,单选,以下說法【不】正確的是：(1-19)（   ）,《魏略》是魏国人修的私史,張魯是張天師,吳會是孫權治下的一個郡,劉備稱帝后，定國號為漢,巴蜀是巴郡和蜀郡，與漢中郡同為益州治下,C
127,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下哪項為並列結構？(1-19)（   ）,智能,霸業,險塞,信義,存恤,ACDE
128,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下哪幾項括弧中的字是仄聲？(1-19)（   ）,漢室可（興）矣,以向（宛）洛,簞（食）壺漿,欲（信）大義於天下,（將）荊州之軍,CE
129,文课,1-14~19 文课练习-《隆中對》,多选,（多選）以下含有詞性活用的選項是：(1-19)（   ）,簞食壺漿,此殆天所以資將軍,與亮情好日密,漢室可興矣,,AC
130,文课,1-14~19 文课练习-《隆中對》,单选,以下說法【不】正確的是：(1-19)（   ）,《魏略》是魏国人修的私史,張魯是張天師,吳會是孫權治下的一個郡,劉備稱帝后，定國號為漢,巴蜀是巴郡和蜀郡，與漢中郡同為益州治下,C
131,文课,20~22 文课练习-《桃花源记》,单选,以下哪項成語典故與陶侃有關？（   ）,龍山落帽、哭竹生筍。,朝暮運甓木屑竹頭。,公田種秫、葛巾漉酒。,無弦琴、不為五斗米折腰,,B
132,文课,20~22 文课练习-《桃花源记》,单选,"""靖節""是陶淵明的:（   ）",名,字,號,謚,,D
133,文课,20~22 文课练习-《桃花源记》,单选,《陶徵士誄》的作者是：（   ）,陶淵明,孟嘉,顏延之,朱光潛,,C
134,文课,20~22 文课练习-《桃花源记》,单选,以下哪一項不是陶淵明的作品？（   ）,《晉故征西大將軍長史孟府君傳》,《命子》《責子》《乞食》,《歸去來兮辭》《五柳先生傳》,《隱逸傳》《愛蓮說》,,D
135,文课,20~22 文课练习-《桃花源记》,单选,以下說法正確的是：（1-21）（   ）,肌肉滿莊凸起處的穴位就是俞,大黃和魚腥草都是鹹味藥,桃仁的功用是活血化瘀、溫經通脈,"一補心一補腎的雙味藥稱為""相須""",,B
136,文课,20~22 文课练习-《桃花源记》,单选,以下正體字正確的是：（1-21）（   ）,複興,漏谷,血捨魂,後溪,,B
137,文课,20~22 文课练习-《桃花源记》,单选,以下哪項【不】都是並列結構？（1-21）（   ）,繽紛 遠近,華英 跬步,谿谷 才干,开朗俞穴,,A
138,文课,20~22 文课练习-《桃花源记》,单选,以下【不】是聯綿詞的是（   ）,仿佛,開朗,蒼涼,繽紛,,B
139,文课,20~22 文课练习-《桃花源记》,单选,以下朝代按時間排序正確的是（   ）,前秦嬴秦 趙宋劉宋,前秦嬴秦劉宋 趙宋,嬴秦 前秦 趙宋劉宋,嬴秦 前秦劉宋 趙宋,,D
140,文课,20~22 文课练习-《桃花源记》,单选,桃花源中人為何來此？（   ）,避秦之亂,避魏之亂,避晉之亂,避宋之亂,,A
141,文课,20~22 文课练习-《桃花源记》,单选,作為日常食用之物，屬於水果的是（   ）,荸薺,桑葚,山藥,核桃,,B
142,文课,20~22 文课练习-《桃花源记》,单选,以下哪項【不】都是並列詞？（   ）,辭去 桑竹 問訊,種作 酒食 衣著,阡陌  平曠垂髫,妻子  歎惋  齠齔,,C
143,文课,20~22 文课练习-《桃花源记》,单选,"""論""的發音，以下哪項是仄聲？（   ）",論語,無論魏晉,論列是非,陰陽應象大論,,D
